artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
J. Wilson Alexander MacDonald,1824      ,1908      ,1824–1908,"MacDonald, J. Wilson Alexander",American,http://vocab.getty.edu/page/ulan/500054367,https://www.wikidata.org/wiki/Q16649830,JM023
Frederick William MacMonnies,1863      ,1937      ,"American, New York 1863–1937 New York","MacMonnies, Frederick William",American,http://vocab.getty.edu/page/ulan/500031496,https://www.wikidata.org/wiki/Q743154,FM003
Hermon Atkins MacNeil,1866      ,1947      ,"American, Everett, Massachusetts 1866–1947 Queens, New York","MacNeil, Hermon Atkins",American,http://vocab.getty.edu/page/ulan/500027891,https://www.wikidata.org/wiki/Q610214,HM005
John Mare,1739      ,1803      ,1739–1802/3,"Mare, John",American,http://vocab.getty.edu/page/ulan/500010683,https://www.wikidata.org/wiki/Q16857946,JM025
Homer Dodge Martin,1836      ,1897      ,"American, Albany, New York 1836–1897 St. Paul, Minnesota","Martin, Homer Dodge",American,http://vocab.getty.edu/page/ulan/500012061,https://www.wikidata.org/wiki/Q3139663,HM006
Arthur Frank Mathews,1860      ,1945      ,1860–1945,"Mathews, Arthur Frank",American,http://vocab.getty.edu/page/ulan/500011261,https://www.wikidata.org/wiki/Q74987,AM003
Grace Hamilton McIntyre,1878      ,1962      ,1878–1962,"McIntyre, Grace Hamilton",American,,https://www.wikidata.org/wiki/Q21014939,GM005
Robert Tait McKenzie,1867      ,1938      ,"American (born Canada), Almonte 1867–1938 Philadelphia, Pennsylvania","McKenzie, Robert Tait","American, born Canada",http://vocab.getty.edu/page/ulan/500001698,https://www.wikidata.org/wiki/Q2209724,RM002
Gari Melchers,1860      ,1932      ,"American, Detroit, Michigan 1860–1932 Falmouth, Virginia","Melchers, Gari",American,http://vocab.getty.edu/page/ulan/500031447,https://www.wikidata.org/wiki/Q1387035,GM006
Willard Metcalf,1858      ,1925      ,"American, Lowell, Massachusetts 1858–1925 New York","Metcalf, Willard",American,http://vocab.getty.edu/page/ulan/500030616,https://www.wikidata.org/wiki/Q736843,WM007
Frank Millet,1846      ,1912      ,1846–1912,"Millet, Frank",American,http://vocab.getty.edu/page/ulan/500028658,https://www.wikidata.org/wiki/Q1345302,FM007
Louis Moeller,1855      ,1930      ,1855–1930,"Moeller, Louis",American,http://vocab.getty.edu/page/ulan/500013286,https://www.wikidata.org/wiki/Q12061930,LM003
Edward Moran,1829      ,1901      ,"American (born England), Bolton, Lancashire 1829–1901 New York","Moran, Edward","American, born England",http://vocab.getty.edu/page/ulan/500018805,https://www.wikidata.org/wiki/Q966864,EM005
Thomas Moran,1837      ,1926      ,"American (born England), Bolton, Lancashire 1837–1926 Santa Barbara, California","Moran, Thomas","American, born England",http://vocab.getty.edu/page/ulan/500015257,https://www.wikidata.org/wiki/Q983441,TM006
Samuel F. B. Morse,1791      ,1872      ,"American, Charlestown, Massachusetts 1791–1872 New York","Morse, Samuel F. B.",American,http://vocab.getty.edu/page/ulan/500026460,https://www.wikidata.org/wiki/Q75698,SM008
Reuben Moulthrop,1763      ,1814      ,1763–1814,"Moulthrop, Reuben",American,http://vocab.getty.edu/page/ulan/500026334,https://www.wikidata.org/wiki/Q18155785,RM003
William Sidney Mount,1807      ,1868      ,"American, Setauket, New York 1807–1868 Setauket, New York","Mount, William Sidney",American,http://vocab.getty.edu/page/ulan/500017404,https://www.wikidata.org/wiki/Q45431,WM010
John Francis Murphy,1853      ,1921      ,"American, Oswego, New York 1853–1921 New York","Murphy, John Francis",American,http://vocab.getty.edu/page/ulan/500019632,https://www.wikidata.org/wiki/Q6233926,JM029
Samuel Aloysius Murray,1869      ,1941      ,"American, Philadelphia, Pennsylvania 1869–1941 Philadelphia, Pennsylvania","Murray, Samuel Aloysius",American,http://vocab.getty.edu/page/ulan/500062301,https://www.wikidata.org/wiki/Q11147565,SM010
Jerome Myers,1867      ,1940      ,"American, Petersburg, Virginia 1867–1940 New York","Myers, Jerome",American,http://vocab.getty.edu/page/ulan/500016767,https://www.wikidata.org/wiki/Q12062250,JM030
John Neagle,1796      ,1865      ,1796–1865,"Neagle, John",American,http://vocab.getty.edu/page/ulan/500005325,https://www.wikidata.org/wiki/Q1701195,JN006
Robert Loftin Newman,1827      ,1912      ,1827–1912,"Newman, Robert Loftin",American,http://vocab.getty.edu/page/ulan/500009311,https://www.wikidata.org/wiki/Q7346973,RN001
Henry Hobart Nichols,1869      ,1962      ,1869–1962,"Nichols, Henry Hobart",American,http://vocab.getty.edu/page/ulan/500012118,https://www.wikidata.org/wiki/Q18911817,HN003
Charles Henry Niehaus,1855      ,1935      ,"American, Cincinnati, Ohio 1855–1935 Grantwood, New Jersey","Niehaus, Charles Henry",American,http://vocab.getty.edu/page/ulan/500077611,https://www.wikidata.org/wiki/Q2803315,CN003
Andrew O'Connor,1874      ,1941      ,"American, Worcester, Massachusetts 1874–1941 Dublin","O'Connor, Andrew",American,http://vocab.getty.edu/page/ulan/500102382,https://www.wikidata.org/wiki/Q4758147,AO003
William Rudolph O'Donovan,1844      ,1920      ,1844–1920,"O'Donovan, William Rudolph",American,http://vocab.getty.edu/page/ulan/500267505,https://www.wikidata.org/wiki/Q8017821,WO001
Walter Launt Palmer,1854      ,1932      ,"American, Albany, New York 1854–1932 Albany, New York","Palmer, Walter Launt",American,http://vocab.getty.edu/page/ulan/500124325,https://www.wikidata.org/wiki/Q15104966,WP006
John Paradise,1783      ,1833      ,1783–1833,"Paradise, John",American,http://vocab.getty.edu/page/ulan/500027461,https://www.wikidata.org/wiki/Q20127418,JP014
Maxfield Parrish,1870      ,1966      ,"American, Philadelphia, Pennsylvania 1870–1966 Plainfield, New Hampshire","Parrish, Maxfield",American,http://vocab.getty.edu/page/ulan/500004193,https://www.wikidata.org/wiki/Q1333928,MP004
William Ordway Partridge,1861      ,1930      ,"American, born France, Paris 1861–1930 New York","Partridge, William Ordway",American,http://vocab.getty.edu/page/ulan/500110361,https://www.wikidata.org/wiki/Q8016365,WP007
William McGregor Paxton,1869      ,1941      ,"American, Baltimore, Maryland 1869–1941 Boston, Massachusetts","Paxton, William McGregor",American,http://vocab.getty.edu/page/ulan/500003172,https://www.wikidata.org/wiki/Q2052021,WP008
Anna Claypoole Peale,1791      ,1878      ,1791–1878,"Peale, Anna Claypoole",American,http://vocab.getty.edu/page/ulan/500010523,https://www.wikidata.org/wiki/Q4766924,AP004
James Peale,1749      ,1831      ,"American, Chestertown, Maryland 1749–1831 Philadelphia, Pennsylvania","Peale, James",American,http://vocab.getty.edu/page/ulan/500029852,https://www.wikidata.org/wiki/Q3161332,JP015
Raphaelle Peale,1774      ,1825      ,1774–1825,"Peale, Raphaelle",American,http://vocab.getty.edu/page/ulan/500004821,https://www.wikidata.org/wiki/Q1374536,RP005
Rembrandt Peale,1778      ,1860      ,"American, Bucks County, Pennsylvania 1778–1860 Philadelphia, Pennsylvania","Peale, Rembrandt",American,http://vocab.getty.edu/page/ulan/500019719,https://www.wikidata.org/wiki/Q375926,RP006
Robert Peckham,1785      ,1877      ,1785–1877,"Peckham, Robert",American,http://vocab.getty.edu/page/ulan/500009849,https://www.wikidata.org/wiki/Q20859501,RP007
Enoch Wood Perry,1831      ,1915      ,1831–1915,"Perry, Enoch Wood",American,http://vocab.getty.edu/page/ulan/500028627,https://www.wikidata.org/wiki/Q5379343,EP007
Jane Peterson,1876      ,1965      ,"American, Elgin, Illinois 1876–1965 Leawood, Kansas","Peterson, Jane",American,http://vocab.getty.edu/page/ulan/500009626,https://www.wikidata.org/wiki/Q6152625,JP017
John F. Peto,1854      ,1907      ,1854–1907,"Peto, John F.",American,http://vocab.getty.edu/page/ulan/500030892,https://www.wikidata.org/wiki/Q978526,JP018
Ammi Phillips,1788      ,1865      ,1788–1865,"Phillips, Ammi",American,http://vocab.getty.edu/page/ulan/500027079,https://www.wikidata.org/wiki/Q2843640,AP005
Attilio Piccirilli,1866      ,1945      ,"American (born Italy), Massa Carrara 1866–1945 New York","Piccirilli, Attilio","American, born Italy",http://vocab.getty.edu/page/ulan/500372715,https://www.wikidata.org/wiki/Q3629278,AP006
Furio Piccirilli,1868      ,1949      ,"American (born Italy), Massa 1868–1949 Rome","Piccirilli, Furio","American, born Italy",http://vocab.getty.edu/page/ulan/500372716,https://www.wikidata.org/wiki/Q5509545,FP003
Jean Pillement,1728      ,1808      ,"French, Lyons 1728–1808 Lyons","Pillement, Jean",French,http://vocab.getty.edu/page/ulan/500022719,https://www.wikidata.org/wiki/Q374713,JP020
Charles Peale Polk,1767      ,1822      ,1767–1822,"Polk, Charles Peale",American,http://vocab.getty.edu/page/ulan/500030173,https://www.wikidata.org/wiki/Q2959962,CP007
Edward Clark Potter,1857      ,1923      ,1857–1923,"Potter, Edward Clark",American,,,EP008
Louis McClellan Potter,1873      ,1912      ,"American, Troy, New York 1873–1912 Seattle, Washington","Potter, Louis McClellan",American,http://vocab.getty.edu/page/ulan/500336103,https://www.wikidata.org/wiki/Q43135409,LP002
Matthew Pratt,1734      ,1805      ,1734–1805,"Pratt, Matthew",American,http://vocab.getty.edu/page/ulan/500022721,https://www.wikidata.org/wiki/Q6791089,MP005
Maurice Brazil Prendergast ,1858      ,1924      ,"American, St. John’s, Newfoundland 1858–1924 New York","Prendergast, Maurice Brazil",American,http://vocab.getty.edu/page/ulan/500004329,https://www.wikidata.org/wiki/Q248707,MP006
Alexander Phimister Proctor,1860      ,1950      ,"American, Bosanquet, Ontario 1860–1950 Palo Alto, California","Proctor, Alexander Phimister",American,http://vocab.getty.edu/page/ulan/500024193,https://www.wikidata.org/wiki/Q4719845,AP009
Arthur Putnam,1873      ,1930      ,"American, Waveland, Mississippi 1873–1930 Ville d'Avray","Putnam, Arthur",American,http://vocab.getty.edu/page/ulan/500084306,https://www.wikidata.org/wiki/Q4800039,AP010
John Quidor,1801      ,1881      ,1801–1881,"Quidor, John",American,http://vocab.getty.edu/page/ulan/500011517,https://www.wikidata.org/wiki/Q3182324,JQ001
Charles Sidney Raleigh,1830      ,1925      ,1830–1925,"Raleigh, Charles Sidney",American,http://vocab.getty.edu/page/ulan/500007979,https://www.wikidata.org/wiki/Q21295011,CR004
Henry Ward Ranger,1858      ,1916      ,"American, Syracuse, New York 1858–1916 New York","Ranger, Henry Ward",American,http://vocab.getty.edu/page/ulan/500000026,https://www.wikidata.org/wiki/Q5729856,HR005
John Rasmussen,1828      ,1895      ,1828–1895,"Rasmussen, John",American,,https://www.wikidata.org/wiki/Q21995169,JR014
Edward Willis Redfield,1869      ,1965      ,1869–1965,"Redfield, Edward Willis",American,http://vocab.getty.edu/page/ulan/500001839,https://www.wikidata.org/wiki/Q3048654,ER003
Frederic Remington,1861      ,1909      ,"American, Canton, New York 1861–1909 Ridgefield, Connecticut","Remington, Frederic",American,http://vocab.getty.edu/page/ulan/500024759,https://www.wikidata.org/wiki/Q560787,FR002
William Rimmer,1816      ,1879      ,"American (born England), Liverpool 1816–1879 South Milford, Massachusetts","Rimmer, William","American, born England",http://vocab.getty.edu/page/ulan/500016416,https://www.wikidata.org/wiki/Q3637109,WR003
William Henry Rinehart,1825      ,1874      ,"American, Union Bridge, Maryland 1825–1874 Rome","Rinehart, William Henry",American,http://vocab.getty.edu/page/ulan/500031700,https://www.wikidata.org/wiki/Q8012137,WR004
Theodore Robinson,1852      ,1896      ,1852–1896,"Robinson, Theodore",American,http://vocab.getty.edu/page/ulan/500004025,https://www.wikidata.org/wiki/Q1384543,TR004
Severin Roesen,1816      ,1872      ,"American (born Prussia), Boppard-am-Rhein 1816–72?","Roesen, Severin",American,http://vocab.getty.edu/page/ulan/500030413,https://www.wikidata.org/wiki/Q88498,SR005
Randolph Rogers,1825      ,1892      ,"American, Waterloo, New York 1825–1892 Rome","Rogers, Randolph",American,http://vocab.getty.edu/page/ulan/500024604,https://www.wikidata.org/wiki/Q2130722,RR003
Frederick George Richard Roth,1872      ,1944      ,"American, Brooklyn, New York 1872–1944 Englewood, New Jersey","Roth, Frederick George Richard",American,http://vocab.getty.edu/page/ulan/500022934,https://www.wikidata.org/wiki/Q5498667,FR005
Frederick Wellington Ruckstull,1853      ,1942      ,"American, (born France) Breitenbach, 1853–1942 New York","Ruckstull, Frederick Wellington","American, born France",http://vocab.getty.edu/page/ulan/500055433,https://www.wikidata.org/wiki/Q1412474,FR006
Chauncey F. Ryder,1868      ,1949      ,1868–1949,"Ryder, Chauncey F.",American,http://vocab.getty.edu/page/ulan/500021744,https://www.wikidata.org/wiki/Q20891828,CR006
Louis St. Gaudens,1854      ,1913      ,1854–1913,"St. Gaudens, Louis",American,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,LG002
Robert Salmon,1755      ,1844      ,1755–ca. 1844,"Salmon, Robert",American,http://vocab.getty.edu/page/ulan/500115419,https://www.wikidata.org/wiki/Q1722657,RS008
Rembrandt (Rembrandt van Rijn),1606      ,1669      ,"Dutch, Leiden 1606–1669 Amsterdam",Rembrandt (Rembrandt van Rijn),Dutch,http://vocab.getty.edu/page/ulan/500011051,https://www.wikidata.org/wiki/Q5598,RR004
Charles Courtney Curran,1861      ,1942      ,1861–1942,"Curran, Charles Courtney",American,http://vocab.getty.edu/page/ulan/500019924,https://www.wikidata.org/wiki/Q948001,CC019
Jean-François Millet,1814      ,1875      ,"French, Gruchy 1814–1875 Barbizon","Millet, Jean-François",French,http://vocab.getty.edu/page/ulan/500012529,https://www.wikidata.org/wiki/Q148458,JM031
William H. Schenck,1809      ,1909      ,active ca. 1854–64,"Schenck, William H.",American,,https://www.wikidata.org/wiki/Q22670111,WS016
Wilhelm Schimmel,1817      ,1890      ,probably 1817–1890,"Schimmel, Wilhelm",American,http://vocab.getty.edu/page/ulan/500333733,https://www.wikidata.org/wiki/Q43136550,WS017
Charles Schreyvogel,1861      ,1912      ,1861–1912,"Schreyvogel, Charles",American,http://vocab.getty.edu/page/ulan/500002037,https://www.wikidata.org/wiki/Q5082397,CS008
Janet Scudder,1869      ,1940      ,"American, Terre Haute, Indiana 1869–1940 Rockport, Massachusetts","Scudder, Janet",American,http://vocab.getty.edu/page/ulan/500004026,https://www.wikidata.org/wiki/Q6153595,JS033
James Jebusa Shannon,1862      ,1923      ,1862–1923,"Shannon, James Jebusa",American,http://vocab.getty.edu/page/ulan/500012069,https://www.wikidata.org/wiki/Q731056,JS034
Walter Shirlaw,1838      ,1909      ,"American, Paisley, Scotland 1838–1909 Madrid","Shirlaw, Walter","American, Scottish",http://vocab.getty.edu/page/ulan/500002781,https://www.wikidata.org/wiki/Q7966127,WS019
Henry Merwin Shrady,1871      ,1922      ,"American, New York 1871–1922 New York","Shrady, Henry Merwin",American,http://vocab.getty.edu/page/ulan/500076927,https://www.wikidata.org/wiki/Q12069002,HS006
Franklin Simmons,1839      ,1913      ,1839–1913,"Simmons, Franklin",American,http://vocab.getty.edu/page/ulan/500102332,https://www.wikidata.org/wiki/Q5491827,FS005
Amory Coffin Simons,1869      ,1959      ,"American, Aitken, South Carolina 1869–1959 Santa Barbara, California","Simons, Amory Coffin",American,http://vocab.getty.edu/page/ulan/500524227,https://www.wikidata.org/wiki/Q110017419,AS009
John Smibert,1688      ,1751      ,"American, Edinburgh, Scotland 1688–1751 Boston, Massachusetts","Smibert, John","American, Scottish",http://vocab.getty.edu/page/ulan/500006043,https://www.wikidata.org/wiki/Q3182482,JS037
John Mix Stanley,1814      ,1872      ,"American, Canandaigua, New York 1814–1872 Detroit, Michigan","Stanley, John Mix",American,http://vocab.getty.edu/page/ulan/500028784,https://www.wikidata.org/wiki/Q2676888,JS043
Joseph Steward,1753      ,1822      ,1753–1822,"Steward, Joseph",American,http://vocab.getty.edu/page/ulan/500115529,https://www.wikidata.org/wiki/Q6287192,JS044
Edmund Austin Stewardson,1865      ,1892      ,1865–1892,"Stewardson, Edmund Austin",American,,https://www.wikidata.org/wiki/Q96760503,ES010
Vincent G. Stiepevich,1841      ,1911      ,1841–after 1910,"Stiepevich, Vincent G.",American,http://vocab.getty.edu/page/ulan/500174044,https://www.wikidata.org/wiki/Q22276320,VS002
Joseph Whiting Stock,1815      ,1855      ,1815–1855,"Stock, Joseph Whiting",American,http://vocab.getty.edu/page/ulan/500017571,https://www.wikidata.org/wiki/Q15428881,JS045
George Henry Story,1835      ,1922      ,1835–1922,"Story, George Henry",American,http://vocab.getty.edu/page/ulan/500005748,https://www.wikidata.org/wiki/Q19753881,GS010
William Wetmore Story,1819      ,1895      ,"American, Boston, Massachusetts 1819–1895 Vallombrosa","Story, William Wetmore",American,http://vocab.getty.edu/page/ulan/500120034,https://www.wikidata.org/wiki/Q1335728,WS023
Louisa Catherine Strobel,1803      ,1883      ,1803–1883,"Strobel, Louisa Catherine",American,,https://www.wikidata.org/wiki/Q20925014,LS004
M. A. Sullivan,1818      ,1918      ,active 1868,"Sullivan, M. A.",American,(not assigned),https://www.wikidata.org/wiki/Q22670105,MS007
Augustus Vincent Tack,1870      ,1949      ,"American, Pittsburgh, Pennsylvania 1870–1949 New York","Tack, Augustus Vincent",American,http://vocab.getty.edu/page/ulan/500026877,https://www.wikidata.org/wiki/Q4821560,AT006
