artist_display_name,artist_begin_date,artist_end_date,artist_display_bio,artist_alpha_sort,artist_nationality,artist_ulan_url,artist_wikidata_url,artist_id
Gertrude Vanderbilt Whitney,1875      ,1942      ,"American, New York 1875–1942 New York","Whitney, Gertrude Vanderbilt ",American,http://vocab.getty.edu/page/ulan/500014661,https://www.wikidata.org/wiki/Q271910,GW003
Anna Hyatt Huntington,1876      ,1973      ,"American, Cambridge, Massachusetts 1876–1973 Redding, Connecticut","Huntington, Anna Hyatt",American,http://vocab.getty.edu/page/ulan/500028984,https://www.wikidata.org/wiki/Q445026,AH015
J. F. Brown & Co.,          ,          , ,J. F. Brown & Co.,American,,,JC049
Everett Shinn,1876      ,1953      ,"American, Woodstown, New Jersey 1876–1953 New York","Shinn, Everett",American,http://vocab.getty.edu/page/ulan/500004443,https://www.wikidata.org/wiki/Q1254856,ES018
Robert Henri,1865      ,1929      ,"American, Cincinnati, Ohio 1865–1929 New York","Henri, Robert",American,http://vocab.getty.edu/page/ulan/500005486,https://www.wikidata.org/wiki/Q724860,RH008
William James Glackens,1870      ,1938      ,"American, Philadelphia, Pennsylvania 1870–1938 Westport, Connecticut","Glackens, William James",American,http://vocab.getty.edu/page/ulan/500018884,https://www.wikidata.org/wiki/Q1339934,WG009
John Sloan,1871      ,1951      ,"American, Lock Haven, Pennsylvania 1871–1951 Hanover, New Hampshire","Sloan, John",American,http://vocab.getty.edu/page/ulan/500014645,https://www.wikidata.org/wiki/Q861756,JS052
George Luks,1866      ,1933      ,"American, Williamsport, Pennsylvania 1866–1933 New York","Luks, George",American,http://vocab.getty.edu/page/ulan/500007311,https://www.wikidata.org/wiki/Q337733,GL008
Hayley Lever,1876      ,1958      ,"American (born Australia), Adelaide 1876–1958 New York","Lever, Hayley","American, born Australia",http://vocab.getty.edu/page/ulan/500031311,https://www.wikidata.org/wiki/Q5686851,HL007
Louis Michel Eilshemius,1864      ,1941      ,"American, Newark, New Jersey 1864–1941 New York","Eilshemius, Louis Michel",American,http://vocab.getty.edu/page/ulan/500030951,https://www.wikidata.org/wiki/Q6687104,LE003
Daniel Garber,1880      ,1958      ,"American, North Manchester, Indiana 1880–1958 Lumberville, Pennsylvania","Garber, Daniel",American,http://vocab.getty.edu/page/ulan/500029187,https://www.wikidata.org/wiki/Q5217239,DG004
James Earle Fraser,1876      ,1953      ,"American, Winona, Minnesota 1876–1953 Westport, Connecticut","Fraser, James Earle",American,http://vocab.getty.edu/page/ulan/500010541,https://www.wikidata.org/wiki/Q4134287,JF013
"Anna Mary Robertson ""Grandma"" Moses",1860      ,1961      ,"American, Greenwich, New York 1860–1961 Hoosick Falls, New York","Moses, Anna Mary Robertson ""Grandma""",American,http://vocab.getty.edu/page/ulan/500032111,https://www.wikidata.org/wiki/Q260683,AM010
John Kane,1860      ,1934      ,"America, West Calder, Scotland 1860–1934 Pittsburgh, Pennsylvania","Kane, John","American, Scottish",http://vocab.getty.edu/page/ulan/500002849,https://www.wikidata.org/wiki/Q6242451,JK013
Mary Roberts,          ,1761      ,"died 1761 Charleston, South Carolina","Roberts, Mary",American,,https://www.wikidata.org/wiki/Q6780619,MR006
Frank Gardner Hale,1876      ,1945      ,1876–1945,"Hale, Frank Gardner",American,,https://www.wikidata.org/wiki/Q99228667,FH004
Henry Rust,          ,          , ,"Rust, Henry",American,,,HR006
Laura A. Fry,1857      ,1857      ,1857–1943,"Fry, Laura A.",American,,,LF007
Baccarat,1764      ,9999      ,"French, founded 1764",Baccarat,French,http://vocab.getty.edu/page/ulan/500124177,https://www.wikidata.org/wiki/Q788088,B002
Susan S. G. Frackelton,1848      ,1932      ,1848–1932,"Frackelton, Susan S. G.",American,,,SF009
Caroline H. Rimmer,1851      ,1851      ,1851–1918,"Rimmer, Caroline H.", ,,,CR009
